Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Boot style (product.metafields.shopify.boot-style),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Footwear material (product.metafields.shopify.footwear-material),Heel height type (product.metafields.shopify.heel-height-type),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
deep-sea-black-nami-slide,,,,,,,,,Men Size 13 - Womens Size 14.5/15,,,,,,,,NamiBLK13,1360.77711,shopify,-1,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/ScreenShot2023-11-24at7.11.54AM_99a8402a-0bdc-4044-af1f-15908225455c.png?v=1745279586,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
aura-gang-white,AURA GANG WHITE,"<p data-mce-fragment=""1"">You all have been waiting for this ONE!! </p>
<p data-mce-fragment=""1"">The AURA CLES Tee Is OUR FIRST Tee we dropped with the Auracles!  AURA on the front and CLES on the Back in a Large PRINT! </p>
<p data-mce-fragment=""1"">This Shirt is a Vintage Fit and fits a little baggy </p>
<p data-mce-fragment=""1"">Shirts will be Shipped out a Few Times a Week!</p>
<p data-mce-fragment=""1"">LIMITED EDITION! This Shirt Will Not Be Available Long </p>
<p data-mce-fragment=""1"">*Note*:  If you order with a Pair of Nami Slides, They will ship when your Nami Slides are ready!  </p>",AURACLES,Uncategorized,Socks,BF24,true,Color,WHITE,,Size,SMALL,,,,,AuraWS,396.89332375,shopify,0,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/aura_for_Shopify.jpg?v=1745279579,1,"",false,,,Apparel & Accessories > Clothing,,,,,,,,,,,,,,,,,,,,,,,,oz,,,true,,,true,,,active
aura-gang-white,,,,,,,,,WHITE,,,MEDIUM,,,,,AuraWM,0.0,shopify,0,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/AuraWhiteBack.jpg?v=1745279580,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
aura-gang-white,,,,,,,,,WHITE,,,LARGE,,,,,AuraWL,0.0,shopify,0,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/0c94162f-ccac-4d9d-8a25-72ab0bacdeae.jpg?v=1745279586,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
aura-gang-white,,,,,,,,,WHITE,,,XL,,,,,AuraWXL,0.0,shopify,0,deny,manual,50.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
aura-gang-white,,,,,,,,,WHITE,,,XXL,,,,,AuraWXXL,0.0,shopify,0,deny,manual,50.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
king-of-hearts-nami-slides,King Of Hearts Nami Slides ( RED ),"<p>THE MOST REQUESTED NAMI SLIDE.... EVER </p>
<p><strong>NamiWAVE Foam: </strong>is a premium combination of unique materials that provides Pillow like comfort and support for you foot. Think of it like memory foam for the foot.</p>
<p>Nami Slide is also biodegradable ( More info Coming soon)</p>
<p><span style=""text-decoration: underline;""><strong>PLEASE READ BELOW ( VERY IMPORTANT</strong></span>)</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">NamiWAVE Foam: </strong>is a premium combination of unique materials that provides Pillow like comfort and support for you foot. Think of it like memory foam for the foot.</p>
<p data-mce-fragment=""1""><em><strong data-mce-fragment=""1"">By Chris Brown &amp; John Dean</strong></em></p>
<p><span style=""text-decoration: underline;"" data-mce-style=""text-decoration: underline;""><strong>PLEASE READ BELOW ( VERY IMPORTANT</strong></span>)</p>
<p>- Please Read: <a href=""https://theauracles.xyz/pages/faq"" data-mce-href=""https://theauracles.xyz/pages/faq"">FAQ</a> </p>
<ul>
<li>
<meta charset=""utf-8""> <span data-mce-fragment=""1"">THESE ARE A PREORDER! These will be shipped in 1-2   weeks from purchase date! We PLAN to ship before this date though ;-)</span>
</li>
<li><span>Comes with The NEW Compact RED Collectible NAMI Box</span></li>
<li><span><meta charset=""utf-8"">PLEASE TAKE YOUR TIME AND PUT IN THE RIGHT ADDRESS AND SIZE! </span></li>
<li><span>LIMITED EDITION &amp; Expected to Sell Out </span></li>
<li>
<span>SIZES SHOWN ARE MENS SIZES, Please Use Size Chart to convert to Womens</span><br>
</li>
<li>
<p>We will do our best to stop bots from purchasing </p>
</li>
</ul>
<p>ALL SALES ARE FINAL</p>",AURACLES,Apparel & Accessories,Footwear,BF24,true,Size,Men Size 4  - Womens 5.5/6,,,,,,,,KHNAMI4,1360.77711,shopify,2,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/RedFront.jpg?v=1745279574,1,"",false,,,Apparel & Accessories > Shoes > Sandals,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
king-of-hearts-nami-slides,,,,,,,,,Men Size 5 - Womens Size 6.5/7,,,,,,,,KHNAMI5,1360.77711,shopify,65,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/AURA-RED-A-BG.png?v=1745279574,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
king-of-hearts-nami-slides,,,,,,,,,Men Size 6 - Womens Size 7.5/8,,,,,,,,KHNAMI6,1360.77711,shopify,0,deny,manual,95.00,,true,true,,https://cdn.shopify.com/s/files/1/0795/0080/4401/files/AURA-RED-O-BG.jpg?v=1745279574,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
king-of-hearts-nami-slides,,,,,,,,,Men Size 7 - Womens Size 8.5/9,,,,,,,,KHNAMI7,1360.77711,shopify,17,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/AURA-RED-B-BG.jpg?v=1745279574,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
